1,Ahmad nagr,Jio,200 mb,136.232.38.18,255.255.255.252,136.232.38.17,ILL_9335342572_300862129639,"New Administrative Building, Near TV Centre, Professor Colony Savedi, Ahmednagar? 414003 Dist. Ahmednagar"
2,Akkalkot,Jio,200 mb,115.242.194.10,255.255.255.252,115.242.194.9,ILL_9335342572_300866047721,"Akkalkot New Tahasil office Behind Mehta Gas Agency Mhada Colony, Akkalkot Pin code:- 413216"
3,Ashti mthq,Jio,10 mb,115.242.218.58,255.255.255.252,115.242.218.57,ILL_9355011177_300864985256,
4,Aundha,Airtel,2 mb,202.56.246.94,255.255.255.252,202.56.246.93,13587719,TAHASIL KARYALAY AUNDHA NAGNTHA - 431705
5,Aurangabad,Airtel,200 mb,182.73.19.226,255.255.255.252,182.73.19.225,13331927,TEHSIL OFFICE AURANGABAD NEAR TREASURY OFFICE LABOUR COLONY AURANGABAD 431001
6,Barshi,Airtel,200 mb,182.75.3.142,255.255.255.252,182.75.3.141,13331921,"Tahsildar Office17,Alipur Rd,Jijau Nagar, Krantisingha Nagar, Barshi,  Dist.Solapur Maharashtra -413401"
7,Basmatnagar,Jio,200 mb,136.232.60.174,255.255.255.252,136.232.60.173,ILL_9335342572_300858573306,"Near Bus stand, Nanded - Parbhani Road, Tahsil Office, Basmat Nagar"
8,Bhadgaon,Airtel,200 mb,182.73.90.126,255.255.255.252,182.73.90.125,13331933,"0 , Tahasil Karyalay Near Bus Stand , Bhadgaon , Jalgaon , Jalgaon , MAHARASHTRA , 424105"
9,Chopda,Airtel,2 mb,122.185.150.150,255.255.255.252,122.185.150.149,13684427,TAHASIL OFFICE NEAR SHAHAR POLICE STATION CHOPDA - 415107
10,Erandol thq,Airtel,2 mb,122.185.154.118,255.255.255.252,122.185.154.117,,
11,Jalkot,Jio,10 mb,115.242.218.102,255.255.255.252,115.242.218.101,ILL_9335342572_300859079832,"Jalkot Tahsil Office, Near sambhaji kendriy mahavidyalaya, Jalkot."
12,Jamner thq,Jio,10 mb,115.242.194.230,255.255.255.252,115.242.194.229,ILL_9335060166_300866521012,"tahsil office Waki Rd, Mahavir Nagar, Jamner Dist Jalgaon-424206"
13,Jintur,Jio,10 mb,115.242.241.2,255.255.255.252,115.242.241.1,ILL_9335060166_300869164658,TAHASIL OFFICE INFRONT OF SBI BANK BESIDE PANCHAYAT SAMITI JINTUR - 431509
14,Kalamnuri,Airtel,200 mb,122.185.150.234,255.255.255.252,122.185.150.233,13687666,Tehsil karyalay Kalamnuri Dist Hingoli MH - 431702
15,Karjat,Jio,10 mb,115.242.217.30,255.255.255.252,115.242.217.29,ILL_9335060166_300867202599,"Tahsil off.Karjat, Maharashtra 414402"
16,Karmala,Airtel,2 mb,122.185.154.110,255.255.255.252,122.185.154.109,13719370,
17,Kopargaon,Airtel,2 mb,182.78.247.198,255.255.255.252,182.78.247.197,13577582,   Tahsil Karyalay  Gurudwara Road Tal:Kopargaon Dist:Ahmednagar- 42361 .     AHMEDNAGAR Maharashtra India
18,Latur,Airtel,200 mb,182.72.24.130,255.255.255.252,182.72.24.129,13331402,"Latur Tahsil office, Main Road, Latur 413512"
19,Madha,Airtel,2 mb,122.185.154.218,255.255.255.252,122.185.154.217,13719378,
20,Malshiras thq,Jio,10 mb,115.243.242.42,255.255.255.248,115.243.242.41,ILL_9335060166_300872032242,
21,Mehkar,Jio,10 mb,115.242.243.166,255.255.255.252,115.242.243.165,ILL_9335060166_300861011716,"Tahsil off,Bilal Nagar, Mehkar, Maharashtra 443301"
22,Mohol,Jio,10 mb,115.242.194.38,255.255.255.252,115.242.194.37,ILL_9335060166_300866124834,"Siddharth Nagar, Mohol, Ghatne - 413213"
23,Newasa,Airtel,2 mb,182.78.249.86,255.255.255.252,182.78.249.85,13577580,At Post Newasa Newasa Shrirampur Road Tal Newasa Dist Ahmednagar State  Maharashtra- 41461     AHMEDNAGAR Maharashtra India
24,Nilanga,Airtel,2 mb,182.75.202.194,255.255.255.252,182.75.202.193,13587723,Aurangpura Dattanagar Nilanga Maharashtra - 413521 .     Latur Maharashtra India
25,Pachora,Local ISP,2 mb,103.141.52.155,255.255.255.248,103.141.52.153,,
26,Paithan,Jio,10 mb,115.242.216.54,255.255.255.252,115.242.216.53,ILL_9335060166_300866960263,"Tahsil office,Court Area, Paithan, Maharashtra 431107"
27,Parbhani,Airtel,200 mb,182.71.136.206,255.255.255.252,182.71.136.205,13331936,Tahsil Office Beside Railway Station Road Parbhani 431401
28,Parner,Local ISP,2 mb,45.119.57.110,255.255.255.252,45.119.57.109,,
29,Parola,Airtel,2 mb,182.78.247.222,255.255.255.252,182.78.247.221,13577560,425111    PANCHAYAT SAMITI NEAR POLICE STATION NH6 PAROLA - 425111 .     Jalgaon Maharashtra India
30,Pathardi,Airtel,2 mb,122.185.154.138 ,255.255.255.252,122.185.154.137 ,13719308,Nearby Pathardi police Station Pathardi Ahmednagar Road NH Hiway 222.Pathardi Dist. Ahmednagar Pin-414102
31,Ratha,Airtel,2 mb,182.76.6.166,255.255.255.252,182.76.6.165,13577581,Panchyat Samiti Karyalay Rahata NEARNAGARMANMAD ROAD TAL:RAHATA DIST  AHMEDNAGAR- 42367     AHMEDNAGAR Maharashtra India
32,Sailu,Airtel,2 mb,182.78.250.234,255.255.255.252,182.78.250.233,13587722,TAHASIL KARYALAY AATRE NAGAR SAILU - 43153 .     Parbhani Maharashtra India
33,Sangrampur,Jio,10 mb,136.233.244.178,255.255.255.248,136.233.244.177,ILL_9335060166_300869588132,"Tahasil Karyalay , Near Panchayat Samiti Sangrampur , Buldana , Buldana , MAHARASHTRA , 444202 , SNRMBD000006"
34,Sengaon,Jio,10 mb,115.242.240.110,255.255.255.252,115.242.240.109,ILL_9335060166_300869287924,TAHASIL KARYALAY RISOD ROAD SENGAON - 431542
35,Shrigonda thq,Airtel,2 mb,122.185.154.190 ,255.255.255.252,122.185.154.189 ,13719282,- Shanichauk THQ shrigonda tal shrigonda dist ahmednagar
36,Srirampur,Airtel,2 mb,122.185.154.146,255.255.255.252,122.185.154.145,13719312,Court road  Shrirampur Pin Code - 413709
37,Vaijapur mthq,Jio,10 mb,136.233.249.82,255.255.255.258,136.233.249.81,ILL_9335060166_300862374650,"Tehsil office vaijapur ,near Panchayat samiti Vaijapur"
38,Yawal,Airtel,10 mb,182.72.55.250,255.255.255.252,182.72.55.249,,TAHASIL KARYALAY VADRY KOLWAD ROAD YAWAL - 425307
,,,,,,,,
